,Month,mean_temp-MEAN,mean_temp-MEDIAN,mean_temp-VARIANCE,mean_temp-MIN,mean_temp-MAX,min_temp-MEAN,min_temp-MEDIAN,min_temp-VARIANCE,min_temp-MIN,min_temp-MAX,max_temp-MEAN,max_temp-MEDIAN,max_temp-VARIANCE,max_temp-MIN,max_temp-MAX,precip-MEAN,precip-MEDIAN,precip-VARIANCE,precip-MIN,precip-MAX
441,10-1986,57.21,56.7,127.57,7.2,89.7,47.38,46.9,158.54,-1.1,84.9,68.23,68.7,139.35,8.2,102.9,0.06,0.0,0.08,0.0,10.35
442,11-1986,45.68,44.7,224.93,-14.3,82.3,37.25,36.0,243.89,-36.0,80.1,55.58,55.0,246.56,-2.9,102.0,0.06,0.0,0.06,0.0,6.94
443,12-1986,38.34,36.7,165.78,-8.8,80.9,30.67,30.2,190.28,-22.2,78.1,47.22,46.0,179.99,-2.7,100.0,0.05,0.0,0.06,0.0,12.02
444,1-1987,35.01,34.7,207.13,-27.7,79.9,26.59,28.0,224.59,-35.1,75.0,44.61,43.0,241.19,-21.8,100.0,0.05,0.0,0.05,0.0,5.35
445,2-1987,39.88,38.6,172.87,-27.7,78.1,30.94,30.2,187.57,-31.0,75.9,49.93,48.9,201.84,-24.9,93.0,0.05,0.0,0.05,0.0,4.33
446,3-1987,46.06,46.5,166.24,-9.3,88.4,36.0,36.0,166.57,-21.8,78.8,56.98,57.9,201.23,-0.9,114.8,0.06,0.0,0.05,0.0,5.86
447,4-1987,56.37,56.2,136.65,6.2,90.0,43.95,44.1,123.66,-2.7,87.1,68.74,69.1,186.03,8.2,118.4,0.04,0.0,0.03,0.0,5.16
448,5-1987,65.63,66.7,107.64,15.8,107.3,54.6,55.0,119.99,11.1,93.0,76.82,79.0,128.92,19.2,129.2,0.06,0.0,0.06,0.0,5.2
449,6-1987,72.77,73.9,75.64,17.7,109.8,61.41,62.1,95.16,14.2,96.1,83.85,84.9,90.99,22.1,129.2,0.07,0.0,0.07,0.0,4.61
450,7-1987,75.66,77.1,74.42,18.5,106.7,64.61,66.0,88.52,15.3,99.0,86.48,88.0,87.29,20.1,120.2,0.06,0.0,0.06,0.0,10.0
451,8-1987,74.15,74.5,91.4,21.9,104.5,63.21,64.0,111.9,5.2,98.1,85.36,86.0,108.59,26.2,129.2,0.06,0.0,0.09,0.0,17.09
452,9-1987,68.02,67.9,81.93,16.4,109.5,56.7,57.0,119.72,10.2,105.1,79.78,80.1,95.92,19.2,129.2,0.06,0.0,0.06,0.0,10.75
453,10-1987,55.69,55.2,122.31,14.9,89.9,43.9,43.0,142.38,6.3,87.1,68.38,69.1,150.96,24.1,118.4,0.03,0.0,0.02,0.0,3.74
454,11-1987,48.05,47.8,167.38,-6.1,89.8,38.8,37.9,184.2,-17.0,79.0,58.49,59.0,189.58,5.2,116.6,0.06,0.0,0.07,0.0,8.82
455,12-1987,39.1,38.1,200.96,-49.6,89.6,31.16,31.1,208.48,-50.8,75.0,47.97,46.9,238.35,-48.8,111.2,0.06,0.0,0.06,0.0,9.84
456,1-1988,32.04,32.8,294.47,-37.1,84.5,23.08,24.3,322.59,-41.8,73.9,42.04,42.1,303.12,-35.9,96.8,0.04,0.0,0.03,0.0,4.41
457,2-1988,37.02,37.5,290.91,-21.8,89.6,26.79,27.1,291.84,-38.7,75.0,48.39,48.9,332.5,-14.8,98.6,0.04,0.0,0.04,0.0,10.51
458,3-1988,46.07,45.6,202.59,-21.5,89.9,35.1,34.0,197.21,-27.9,81.0,57.83,57.9,248.72,0.0,105.8,0.04,0.0,0.04,0.0,5.55
459,4-1988,54.77,54.2,127.47,4.1,88.6,43.18,42.1,134.16,-3.8,84.9,66.95,67.0,162.69,7.2,107.6,0.05,0.0,0.04,0.0,7.58
460,5-1988,64.2,64.9,110.43,7.9,104.8,51.87,52.0,110.96,1.2,91.9,75.97,78.1,137.86,9.1,129.2,0.04,0.0,0.04,0.0,4.33
461,6-1988,72.71,74.1,104.19,8.7,105.5,60.01,60.1,105.22,5.2,100.0,84.79,87.1,131.16,10.2,129.2,0.04,0.0,0.04,0.0,6.9
462,7-1988,76.71,77.6,68.78,26.7,107.9,64.92,66.0,87.42,10.2,102.0,88.27,89.1,88.55,29.1,127.4,0.06,0.0,0.07,0.0,4.8
463,8-1988,75.72,77.0,78.33,15.0,105.1,64.51,66.0,106.75,10.2,96.1,87.28,89.1,93.82,16.2,120.2,0.06,0.0,0.07,0.0,7.24
464,9-1988,67.42,67.4,103.09,6.7,108.9,56.26,55.9,135.43,5.2,96.1,79.24,80.1,118.1,7.2,127.4,0.06,0.0,0.08,0.0,6.84
465,10-1988,56.06,56.0,137.53,9.1,89.9,45.14,45.0,152.39,1.2,84.0,67.86,69.1,174.77,15.3,118.4,0.03,0.0,0.03,0.0,4.36
466,11-1988,47.91,47.2,180.52,-2.5,87.6,38.67,37.9,184.39,-20.7,81.0,58.07,57.9,219.17,5.2,109.4,0.07,0.0,0.07,0.0,7.48
467,12-1988,37.53,37.6,237.19,-16.3,88.6,28.06,28.2,243.5,-33.2,77.0,48.25,48.0,276.3,-8.9,114.8,0.03,0.0,0.02,0.0,4.13
468,1-1989,38.36,38.5,241.81,-29.5,89.6,28.94,30.0,267.57,-41.8,77.0,49.05,48.9,265.81,-23.8,113.0,0.04,0.0,0.03,0.0,4.92
469,2-1989,33.62,33.2,382.13,-37.9,89.4,24.71,25.2,387.75,-50.8,79.0,43.78,42.1,422.95,-27.0,113.0,0.05,0.0,0.04,0.0,5.98
470,3-1989,45.57,45.8,293.75,-15.6,89.0,35.48,35.1,281.83,-39.8,79.0,56.89,57.9,354.2,-3.8,114.8,0.06,0.0,0.05,0.0,5.47
471,4-1989,55.54,55.0,183.22,3.4,90.0,44.06,43.0,171.26,-6.9,84.0,67.26,68.0,230.82,9.1,111.9,0.04,0.0,0.03,0.0,5.08
472,5-1989,63.51,63.2,130.94,7.2,109.0,52.18,52.0,137.35,6.3,98.6,74.69,75.0,152.15,8.2,129.2,0.07,0.0,0.08,0.0,7.76
473,6-1989,70.76,71.1,88.55,5.3,109.3,59.99,60.1,102.28,3.2,95.0,81.68,82.0,105.92,7.2,129.2,0.1,0.0,0.12,0.0,13.58
474,7-1989,75.82,76.2,64.85,24.3,109.3,64.7,64.9,79.59,20.1,104.0,86.8,88.0,85.66,26.2,129.2,0.07,0.0,0.07,0.0,5.98
475,8-1989,73.31,73.4,73.21,21.5,106.0,62.79,63.0,95.7,2.1,98.1,84.17,84.9,85.24,24.3,117.0,0.06,0.0,0.07,0.0,10.39
